event_id,source_id,source_package,source_file,road_type,road_section_type,city,location_label,traffic_condition,collection_time_period,speed_bin,overlap_type,ego_id,cutin_id,reference_frame,reference_time_definition,keyframe1,keyframe2,keyframe3,keyframe4,keyframe5,ego_speed_kmh,cutin_speed_kmh,relative_speed_kmh,longitudinal_gap_m,longitudinal_gap_signed_m,lateral_speed_mps,cutin_angle_deg,cutin_duration_s,ttc_s,thw_s,min_ttc_s,min_thw_s,ego_max_decel_mps2,cutin_lateral_accel_mps2,sample_quality,quality_notes
DJI_20250802072938_0004_V::Ego_110_CutIn_27_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_110_CutIn_27_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,110,27,329,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,329,453,453,57.308,68.537,11.228,77.725,,0.009,-1.621,15.1,,4.881,,3.716,-0.64,0.54,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_112_CutIn_57_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_112_CutIn_57_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,112,57,232,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,232,487,487,68.461,48.056,-20.405,77.459,,0.591,3.601,16.233,14.593,4.077,12.901,2.247,-1.439,0.72,valid,
DJI_20250802072938_0004_V::Ego_128_CutIn_26_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_128_CutIn_26_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,128,26,33,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,33,453,453,57.344,68.587,11.243,77.855,,0.007,-1.666,15.1,,4.886,,3.628,-0.915,0.495,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_130_CutIn_53_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_130_CutIn_53_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,130,53,232,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,232,487,487,68.472,48.071,-20.401,77.475,,0.588,3.624,16.233,14.597,4.077,12.878,2.249,-1.452,0.87,valid,
DJI_20250802072938_0004_V::Ego_135_CutIn_122_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_135_CutIn_122_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,135,122,134,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",82,82,134,488,488,64.256,74.304,10.048,22.195,,0.058,-2.282,13.533,,1.244,,1.161,-0.37,0.795,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_141_CutIn_103_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_141_CutIn_103_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,141,103,667,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",83,83,667,687,687,56.549,61.996,5.447,20.068,,0.337,-0.063,20.133,,1.278,12.326,1.134,-1.076,0.57,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_154_CutIn_138_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_154_CutIn_138_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,154,138,527,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",16,16,527,603,603,78.901,70.229,-8.672,16.688,,0.569,2.652,14.767,9.006,0.761,8.44,0.6,-0.256,0.435,valid,
DJI_20250802072938_0004_V::Ego_162_CutIn_117_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_162_CutIn_117_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,162,117,668,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",83,83,668,687,687,56.509,61.931,5.422,20.135,,0.342,-0.28,20.133,,1.283,12.363,1.133,-1.159,0.615,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_165_CutIn_175_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_165_CutIn_175_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,165,175,557,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",295,295,557,667,667,59.281,78.631,19.35,33.776,,0.173,-2.732,12.4,,2.051,,0.007,-0.374,0.51,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_189_CutIn_156_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_189_CutIn_156_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,189,156,561,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",249,249,561,767,767,58.05,54.018,-4.032,28.941,,0.144,1.937,17.267,30.184,1.795,9.74,1.781,-0.527,0.765,valid,
